year,week,home_team_name,away_team_name,day,date,time,weekly_attendance,weekly_attendance_ratio,prev_game_attendance,avg_season_attendance_prev,home_team_superbowl_winner_last_season,away_team_superbowl_winner_last_season,home_team_playoffs_last_season,away_team_playoffs_last_season,home_team_wins_last_3,away_team_wins_last_3,pts_home,pts_away,yds_home,yds_away,turnovers_home,turnovers_away,zscore_pts_home,zscore_yds_home,zscore_turnovers_home,zscore_pts_away,zscore_yds_away,zscore_turnovers_away,full_date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2010,1,Giants,Panthers,Sun,September 12,1:04PM,77245.0,0.7348198742401614,78809.0,76495.4375,False,False,False,False,1.0,3.0,31,18,376,237,4,5,0.4831669353893126,0.11849139700744489,1.4849406035637625,-0.16766715325051865,-1.1481688926353106,1.5194254987178037,2010-09-12,17.7,15.6,20.0,,,,9.7,,,
2010,3,Giants,Titans,Sun,September 26,1:02PM,78386.0,0.7456740327812711,77245.0,76495.4375,False,False,False,False,1.0,2.0,10,29,471,271,3,0,-1.243897854938443,1.2441596685781713,0.7649694018358776,0.5638846153259354,-0.9241094566859347,-1.4458015864489118,2010-09-26,19.4,16.1,21.7,0.0,,,11.4,,1016.3,
2010,4,Giants,Bears,Sun,October 3,8:31PM,77716.0,0.7393004252242654,78386.0,76495.4375,False,False,False,False,1.0,3.0,17,3,372,110,3,3,-0.6682095914958578,0.07109483820446694,0.7649694018358776,-1.4626574102952234,-2.81827730395418,0.47108416430089484,2010-10-03,13.2,9.4,18.3,0.0,,32.0,13.0,,1018.9,
2010,6,Giants,Lions,Sun,October 17,1:03PM,78341.0,0.7452459546617707,77716.0,76495.4375,False,False,False,False,2.0,1.0,28,20,334,366,1,3,0.23644339391391891,-0.3791724704238236,-0.674973001619892,0.3684747416957915,0.8751580099509826,0.2681224932032043,2010-10-17,13.3,5.6,20.6,0.0,,,9.4,,1011.3,
2010,10,Giants,Cowboys,Sun,November 14,4:15PM,80851.0,0.7691232008827922,78341.0,76495.4375,False,False,False,True,3.0,0.0,20,33,480,427,3,1,-0.4214860500204642,1.3508019258848718,0.7649694018358776,1.0874215040937278,0.4040085705353742,-0.16063235132929474,2010-11-14,9.7,2.8,17.2,0.0,,,3.4,,1018.6,
2010,12,Giants,Jaguars,Sun,November 28,1:02PM,78533.0,0.7470724213049723,80851.0,76495.4375,False,False,False,False,1.0,3.0,24,20,361,328,0,2,-0.09252132805327262,-0.059245698503722445,-1.3949442033477768,0.18054738281373706,-0.10566428936155786,0.6305382891081346,2010-11-28,3.7,-1.7,8.3,,,,6.3,,1025.5,
2010,13,Giants,Redskins,Sun,December 5,1:02PM,78861.0,0.7501926351537752,78533.0,76495.4375,False,False,False,False,1.0,1.0,31,7,358,338,1,6,0.4831669353893126,-0.0947931176059559,-0.674973001619892,-1.0570117640531411,0.38700978437381756,3.167762968124702,2010-12-05,0.2,-1.1,1.1,0.0,,301.0,20.2,,1004.6,
2010,15,Giants,Eagles,Sun,December 19,1:03PM,81223.0,0.7726619800039954,78861.0,76495.4375,False,False,False,True,3.0,2.0,31,38,364,418,2,3,0.4831669353893126,-0.023698279401488977,0.044998200107992804,0.9736393264674515,0.8304486718144625,1.2920284853042547,2010-12-19,-1.0,-3.3,2.2,0.0,,,8.0,,1015.5,
2011,2,Giants,Rams,Mon,September 19,8:40PM,78290.0,0.7447607994596703,81223.0,74380.9375,False,False,False,False,1.0,1.0,28,16,323,367,1,2,0.3555258779586656,-0.7168939130604671,-0.9515025711248198,-0.264085084314949,1.0175431347846213,0.5750839715589571,2011-09-19,15.5,10.0,20.0,0.0,,,8.8,,1024.4,
2011,5,Giants,Seahawks,Sun,October 9,1:04PM,78650.0,0.7481854244156734,78290.0,74380.9375,False,False,False,True,3.0,1.0,25,36,464,424,5,3,0.03950287532874062,1.046805833792765,1.3906576039516598,1.721004656600534,1.3578000467692695,0.7649694018358776,2011-10-09,20.3,11.7,30.0,0.0,,,3.5,,1027.7,
2011,6,Giants,Bills,Sun,October 16,1:02PM,79243.0,0.7538265427459785,78650.0,74380.9375,False,False,False,False,2.0,2.0,27,24,414,374,0,2,0.2501848770820239,0.42138039164622876,-1.5370426148939398,0.5338294222144488,0.7110618331427287,-0.21190727236721119,2011-10-16,15.7,11.1,20.0,0.0,,212.0,17.5,,1009.1,
2011,8,Giants,Dolphins,Sun,October 30,1:02PM,79302.0,0.754387800724879,79243.0,74380.9375,False,False,False,False,2.0,0.0,20,17,402,246,0,1,-0.48720212905446764,0.2712782855310601,-1.5370426148939398,-0.007020145836339572,-0.8107267196761909,-0.8822511879683624,2011-10-30,3.9,1.1,8.3,1.5,,,12.5,,1020.2,
2011,11,Giants,Eagles,Sun,November 20,8:32PM,79743.0,0.7585829662959828,79302.0,74380.9375,False,False,False,True,2.0,1.0,10,17,278,391,2,3,-1.5406121378208841,-1.2797768109923497,-0.36596252735569995,-0.9071086947587937,0.021174638067009442,1.0533185015805107,2011-11-20,12.5,6.1,18.9,0.0,,215.0,12.4,,1020.1,
2011,13,Giants,Packers,Sun,December 4,4:15PM,80634.0,0.7670589130620904,79743.0,74380.9375,False,True,False,True,0.0,3.0,35,38,447,449,2,1,1.092912884095157,0.8341611834629427,-0.36596252735569995,1.116006726903003,1.2189205123389018,-0.31142054945152486,2011-12-04,6.8,0.6,12.8,0.0,,,6.4,,1032.8,
2011,15,Giants,Redskins,Sun,December 18,1:02PM,78861.0,0.7501926351537752,80634.0,74380.9375,False,False,False,False,1.0,1.0,10,23,324,300,3,2,-1.5406121378208841,-0.7043854042175364,0.21957751641341997,0.650191085147258,-0.5301026324950381,0.03982831174232289,2011-12-18,-2.6,-5.0,-0.6,0.0,,,8.3,,1024.1,
2011,17,Giants,Cowboys,Sun,January 1,8:31PM,81077.0,0.7712731043273942,78861.0,74380.9375,False,False,False,False,2.0,1.0,31,14,437,300,0,2,0.6715488805885905,0.7090760950336354,-1.5370426148939398,-1.1054322348123482,-0.7744112051402869,0.09190182776172598,2011-01-01,4.0,-1.7,8.3,0.0,,,3.4,,1018.4,
2012,1,Giants,Cowboys,Wed,September 5,8:41PM,82287.0,0.7827836493184045,81077.0,77009.8125,False,False,False,False,2.0,1.0,17,24,269,433,1,1,-0.9425079509404384,-1.7422149574595014,-0.379777262656375,0.09063331053247183,0.816159969355493,-0.3080400363063401,2012-09-05,25.4,21.7,28.3,,,,10.6,,1008.7,
2012,2,Giants,Buccaneers,Sun,September 16,1:03PM,76964.0,0.732146764205059,82287.0,77009.8125,False,False,False,False,2.0,1.0,41,34,604,307,3,2,2.02407445201963,3.2864722649330282,1.1393317879691252,2.5721958777903273,-0.16291295688757995,-0.2459346884189824,2012-09-16,18.0,11.7,24.4,0.0,,,5.7,,1018.5,
2012,5,Giants,Browns,Sun,October 7,1:02PM,79911.0,0.7601811246087842,76964.0,77009.8125,False,False,False,False,2.0,0.0,41,27,502,375,2,3,2.02407445201963,1.755349588264258,0.379777262656375,2.34073472451194,1.5952182407878337,4.4962591288588065,2012-10-07,10.4,7.2,12.2,,,,5.0,,1017.7,
2012,7,Giants,Redskins,Sun,October 21,1:03PM,81352.0,0.7738891372798965,79911.0,77009.8125,False,False,False,False,2.0,2.0,27,23,393,480,2,4,0.29356805029292343,0.11914986515743493,0.379777262656375,0.6454972243679028,1.929790505163726,2.4166666666666665,2012-10-21,13.6,8.9,19.4,0.0,,276.0,12.8,,1013.5,
2012,9,Giants,Steelers,Sun,November 4,4:26PM,80991.0,0.7704549994767934,81352.0,77009.8125,False,False,False,True,3.0,2.0,20,24,182,349,1,2,-0.5716851505704298,-3.0481725346181583,-0.379777262656375,0.36783919295929235,-0.4390338298904368,0.1355815361366601,2012-11-04,6.5,3.3,10.6,0.0,,310.0,15.0,,1014.3,
2012,12,Giants,Packers,Sun,November 25,8:30PM,80365.0,0.764499957192188,80991.0,77009.8125,False,False,False,True,1.0,3.0,38,10,390,317,0,2,1.6532516516496214,0.07411684525541229,-1.1393317879691252,-2.5050150501756328,-1.4939480956397293,1.5651187731905678,2012-11-25,3.0,1.1,5.6,0.0,,271.0,18.8,,1012.3,
