year,week,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_city,away_team_city,weekly_attendance,home_team_superbowl_winner_last_season,away_team_superbowl_winner_last_season,home_team_playoffs_last_season,away_team_playoffs_last_season,home_win,away_win,home_team_wins_last_3,away_team_wins_last_3,full_date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2010,1,New York Giants,Carolina Panthers,New York Giants,,Sun,September 12,1:04PM,31,18,376,4,237,5,New York,Carolina,77245.0,False,False,False,False,1,0,,,2010-09-12,17.7,15.6,20.0,,,,9.7,,,
2010,3,New York Giants,Tennessee Titans,Tennessee Titans,,Sun,September 26,1:02PM,29,10,271,0,471,3,New York,Tennessee,78386.0,False,False,False,False,0,1,1.0,1.0,2010-09-26,19.4,16.1,21.7,0.0,,,11.4,,1016.3,
2010,4,New York Giants,Chicago Bears,New York Giants,,Sun,October 3,8:31PM,17,3,372,3,110,3,New York,Chicago,77716.0,False,False,False,False,1,0,1.0,3.0,2010-10-03,13.2,9.4,18.3,0.0,,32.0,13.0,,1018.9,
2010,6,New York Giants,Detroit Lions,New York Giants,,Sun,October 17,1:03PM,28,20,334,1,366,3,New York,Detroit,78341.0,False,False,False,False,1,0,2.0,1.0,2010-10-17,13.3,5.6,20.6,0.0,,,9.4,,1011.3,
2010,10,New York Giants,Dallas Cowboys,Dallas Cowboys,,Sun,November 14,4:15PM,33,20,427,1,480,3,New York,Dallas,80851.0,False,False,False,True,0,1,3.0,0.0,2010-11-14,9.7,2.8,17.2,0.0,,,3.4,,1018.6,
2010,12,New York Giants,Jacksonville Jaguars,New York Giants,,Sun,November 28,1:02PM,24,20,361,0,328,2,New York,Jacksonville,78533.0,False,False,False,False,1,0,1.0,3.0,2010-11-28,3.7,-1.7,8.3,,,,6.3,,1025.5,
2010,13,New York Giants,Washington Redskins,New York Giants,,Sun,December 5,1:02PM,31,7,358,1,338,6,New York,Washington,78861.0,False,False,False,False,1,0,1.0,1.0,2010-12-05,0.2,-1.1,1.1,0.0,,301.0,20.2,,1004.6,
2010,15,New York Giants,Philadelphia Eagles,Philadelphia Eagles,,Sun,December 19,1:03PM,38,31,418,3,364,2,New York,Philadelphia,81223.0,False,False,False,True,0,1,3.0,2.0,2010-12-19,-1.0,-3.3,2.2,0.0,,,8.0,,1015.5,
2011,2,New York Giants,St. Louis Rams,New York Giants,,Mon,September 19,8:40PM,28,16,323,1,367,2,New York,St. Louis,78290.0,False,False,False,False,1,0,1.0,1.0,2011-09-19,15.5,10.0,20.0,0.0,,,8.8,,1024.4,
2011,5,New York Giants,Seattle Seahawks,Seattle Seahawks,,Sun,October 9,1:04PM,36,25,424,3,464,5,New York,Seattle,78650.0,False,False,False,True,0,1,3.0,1.0,2011-10-09,20.3,11.7,30.0,0.0,,,3.5,,1027.7,
2011,6,New York Giants,Buffalo Bills,New York Giants,,Sun,October 16,1:02PM,27,24,414,0,374,2,New York,Buffalo,79243.0,False,False,False,False,1,0,2.0,2.0,2011-10-16,15.7,11.1,20.0,0.0,,212.0,17.5,,1009.1,
2011,8,New York Giants,Miami Dolphins,New York Giants,,Sun,October 30,1:02PM,20,17,402,0,246,1,New York,Miami,79302.0,False,False,False,False,1,0,2.0,0.0,2011-10-30,3.9,1.1,8.3,1.5,,,12.5,,1020.2,
2011,11,New York Giants,Philadelphia Eagles,Philadelphia Eagles,,Sun,November 20,8:32PM,17,10,391,3,278,2,New York,Philadelphia,79743.0,False,False,False,True,0,1,2.0,1.0,2011-11-20,12.5,6.1,18.9,0.0,,215.0,12.4,,1020.1,
2011,13,New York Giants,Green Bay Packers,Green Bay Packers,,Sun,December 4,4:15PM,38,35,449,1,447,2,New York,Green Bay,80634.0,False,True,False,True,0,1,0.0,3.0,2011-12-04,6.8,0.6,12.8,0.0,,,6.4,,1032.8,
2011,15,New York Giants,Washington Redskins,Washington Redskins,,Sun,December 18,1:02PM,23,10,300,2,324,3,New York,Washington,78861.0,False,False,False,False,0,1,1.0,1.0,2011-12-18,-2.6,-5.0,-0.6,0.0,,,8.3,,1024.1,
2011,17,New York Giants,Dallas Cowboys,New York Giants,,Sun,January 1,8:31PM,31,14,437,0,300,2,New York,Dallas,81077.0,False,False,False,False,1,0,2.0,1.0,2011-01-01,4.0,-1.7,8.3,0.0,,,3.4,,1018.4,
2012,1,New York Giants,Dallas Cowboys,Dallas Cowboys,,Wed,September 5,8:41PM,24,17,433,1,269,1,New York,Dallas,82287.0,True,False,True,False,0,1,2.0,1.0,2012-09-05,25.4,21.7,28.3,,,,10.6,,1008.7,
2012,2,New York Giants,Tampa Bay Buccaneers,New York Giants,,Sun,September 16,1:03PM,41,34,604,3,307,2,New York,Tampa Bay,76964.0,True,False,True,False,1,0,2.0,1.0,2012-09-16,18.0,11.7,24.4,0.0,,,5.7,,1018.5,
2012,5,New York Giants,Cleveland Browns,New York Giants,,Sun,October 7,1:02PM,41,27,502,2,375,3,New York,Cleveland,79911.0,True,False,True,False,1,0,2.0,0.0,2012-10-07,10.4,7.2,12.2,,,,5.0,,1017.7,
2012,7,New York Giants,Washington Redskins,New York Giants,,Sun,October 21,1:03PM,27,23,393,2,480,4,New York,Washington,81352.0,True,False,True,False,1,0,2.0,2.0,2012-10-21,13.6,8.9,19.4,0.0,,276.0,12.8,,1013.5,
2012,9,New York Giants,Pittsburgh Steelers,Pittsburgh Steelers,,Sun,November 4,4:26PM,24,20,349,2,182,1,New York,Pittsburgh,80991.0,True,False,True,True,0,1,3.0,2.0,2012-11-04,6.5,3.3,10.6,0.0,,310.0,15.0,,1014.3,
2012,12,New York Giants,Green Bay Packers,New York Giants,,Sun,November 25,8:30PM,38,10,390,0,317,2,New York,Green Bay,80365.0,True,False,True,True,1,0,1.0,3.0,2012-11-25,3.0,1.1,5.6,0.0,,271.0,18.8,,1012.3,
2012,14,New York Giants,New Orleans Saints,New York Giants,,Sun,December 9,4:26PM,52,27,394,2,487,4,New York,New Orleans,81437.0,True,False,True,True,1,0,1.0,1.0,2012-12-09,7.1,5.6,8.9,,,,9.1,,1021.0,
2012,17,New York Giants,Philadelphia Eagles,New York Giants,,Sun,December 30,1:04PM,42,7,397,0,317,1,New York,Philadelphia,80657.0,True,False,True,False,1,0,1.0,1.0,2012-12-30,-0.5,-2.2,1.1,0.0,,308.0,28.2,,1012.8,
2013,2,New York Giants,Denver Broncos,Denver Broncos,,Sun,September 15,4:25PM,41,23,414,1,376,4,New York,Denver,81285.0,False,False,False,True,0,1,1.0,3.0,2013-09-15,15.7,8.9,22.8,0.0,,,5.4,,1020.6,
2013,5,New York Giants,Philadelphia Eagles,Philadelphia Eagles,,Sun,October 6,1:02PM,36,21,439,0,383,4,New York,Philadelphia,80738.0,False,False,False,False,0,1,0.0,0.0,2013-10-06,20.6,19.4,22.2,,,114.0,10.4,,,
2013,7,New York Giants,Minnesota Vikings,New York Giants,,Mon,October 21,8:40PM,23,7,257,1,206,3,New York,Minnesota,79314.0,False,False,False,True,1,0,0.0,1.0,2013-10-21,13.7,6.7,21.1,0.0,,,8.0,,1018.3,
