team,team_name,opponent_team,opponent_team_name,location,year,total,home,away,week,weekly_attendance,stadium,home_team,capacity,capacity_rate,Sb_winners,Sb_winners_prev_years,Playoff_prev_years,Bad_streak,Medium_streak,Good_streak,date,full_date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
New York,giants,Carolina,panthers,home,2010,1190095,631156,558939,1,77245.0,MetLife Stadium,New York Giants,82500,1.0,False,True,True,True,False,False,September 12,2010-09-12,17.7,15.6,20.0,,,,9.7,,,
New York,giants,Tennessee,titans,home,2010,1190095,631156,558939,3,78386.0,MetLife Stadium,New York Giants,82500,1.0,False,True,True,True,False,False,September 26,2010-09-26,19.4,16.1,21.7,0.0,,,11.4,,1016.3,
New York,giants,Chicago,bears,home,2010,1190095,631156,558939,4,77716.0,MetLife Stadium,New York Giants,82500,1.0,False,True,True,True,False,False,October 3,2010-10-03,13.2,9.4,18.3,0.0,,32.0,13.0,,1018.9,
New York,giants,Detroit,lions,home,2010,1190095,631156,558939,6,78341.0,MetLife Stadium,New York Giants,82500,1.0,False,True,True,False,True,False,October 17,2010-10-17,13.3,5.6,20.6,0.0,,,9.4,,1011.3,
New York,giants,Dallas,cowboys,home,2010,1190095,631156,558939,10,80851.0,MetLife Stadium,New York Giants,82500,1.0,False,True,True,False,False,True,November 14,2010-11-14,9.7,2.8,17.2,0.0,,,3.4,,1018.6,
New York,giants,Jacksonville,jaguars,home,2010,1190095,631156,558939,12,78533.0,MetLife Stadium,New York Giants,82500,1.0,False,True,True,False,False,True,November 28,2010-11-28,3.7,-1.7,8.3,,,,6.3,,1025.5,
New York,giants,Washington,redskins,home,2010,1190095,631156,558939,13,78861.0,MetLife Stadium,New York Giants,82500,1.0,False,True,True,False,True,False,December 5,2010-12-05,0.2,-1.1,1.1,0.0,,301.0,20.2,,1004.6,
New York,giants,Philadelphia,eagles,home,2010,1190095,631156,558939,15,81223.0,MetLife Stadium,New York Giants,82500,1.0,False,True,True,False,True,False,December 19,2010-12-19,-1.0,-3.3,2.2,0.0,,,8.0,,1015.5,
New York,giants,St. Louis,rams,home,2011,1232157,635800,596357,2,78290.0,MetLife Stadium,New York Giants,82500,1.0,False,False,False,True,False,False,September 19,2011-09-19,15.5,10.0,20.0,0.0,,,8.8,,1024.4,
New York,giants,Seattle,seahawks,home,2011,1232157,635800,596357,5,78650.0,MetLife Stadium,New York Giants,82500,1.0,False,False,False,False,True,False,October 9,2011-10-09,20.3,11.7,30.0,0.0,,,3.5,,1027.7,
New York,giants,Buffalo,bills,home,2011,1232157,635800,596357,6,79243.0,MetLife Stadium,New York Giants,82500,1.0,False,False,False,False,True,False,October 16,2011-10-16,15.7,11.1,20.0,0.0,,212.0,17.5,,1009.1,
New York,giants,Miami,dolphins,home,2011,1232157,635800,596357,8,79302.0,MetLife Stadium,New York Giants,82500,1.0,False,False,False,False,True,False,October 30,2011-10-30,3.9,1.1,8.3,1.5,,,12.5,,1020.2,
New York,giants,Philadelphia,eagles,home,2011,1232157,635800,596357,11,79743.0,MetLife Stadium,New York Giants,82500,1.0,False,False,False,False,False,True,November 20,2011-11-20,12.5,6.1,18.9,0.0,,215.0,12.4,,1020.1,
New York,giants,Green Bay,packers,home,2011,1232157,635800,596357,13,80634.0,MetLife Stadium,New York Giants,82500,1.0,False,False,False,False,True,False,December 4,2011-12-04,6.8,0.6,12.8,0.0,,,6.4,,1032.8,
New York,giants,Washington,redskins,home,2011,1232157,635800,596357,15,78861.0,MetLife Stadium,New York Giants,82500,1.0,False,False,False,True,False,False,December 18,2011-12-18,-2.6,-5.0,-0.6,0.0,,,8.3,,1024.1,
New York,giants,Dallas,cowboys,home,2011,1232157,635800,596357,17,81077.0,MetLife Stadium,New York Giants,82500,1.0,False,False,False,True,False,False,January 1,2011-01-01,4.0,-1.7,8.3,0.0,,,3.4,,1018.4,
New York,giants,Dallas,cowboys,home,2012,1229929,643964,585965,1,82287.0,MetLife Stadium,New York Giants,82500,1.0,True,False,True,True,False,False,September 5,2012-09-05,25.4,21.7,28.3,,,,10.6,,1008.7,
New York,giants,Tampa Bay,buccaneers,home,2012,1229929,643964,585965,2,76964.0,MetLife Stadium,New York Giants,82500,1.0,True,False,True,True,False,False,September 16,2012-09-16,18.0,11.7,24.4,0.0,,,5.7,,1018.5,
New York,giants,Cleveland,browns,home,2012,1229929,643964,585965,5,79911.0,MetLife Stadium,New York Giants,82500,1.0,True,False,True,False,True,False,October 7,2012-10-07,10.4,7.2,12.2,,,,5.0,,1017.7,
New York,giants,Washington,redskins,home,2012,1229929,643964,585965,7,81352.0,MetLife Stadium,New York Giants,82500,1.0,True,False,True,False,True,False,October 21,2012-10-21,13.6,8.9,19.4,0.0,,276.0,12.8,,1013.5,
New York,giants,Pittsburgh,steelers,home,2012,1229929,643964,585965,9,80991.0,MetLife Stadium,New York Giants,82500,1.0,True,False,True,False,False,True,November 4,2012-11-04,6.5,3.3,10.6,0.0,,310.0,15.0,,1014.3,
New York,giants,Green Bay,packers,home,2012,1229929,643964,585965,12,80365.0,MetLife Stadium,New York Giants,82500,1.0,True,False,True,False,False,True,November 25,2012-11-25,3.0,1.1,5.6,0.0,,271.0,18.8,,1012.3,
New York,giants,New Orleans,saints,home,2012,1229929,643964,585965,14,81437.0,MetLife Stadium,New York Giants,82500,1.0,True,False,True,False,True,False,December 9,2012-12-09,7.1,5.6,8.9,,,,9.1,,1021.0,
New York,giants,Philadelphia,eagles,home,2012,1229929,643964,585965,17,80657.0,MetLife Stadium,New York Giants,82500,1.0,True,False,True,False,True,False,December 30,2012-12-30,-0.5,-2.2,1.1,0.0,,308.0,28.2,,1012.8,
New York,giants,Denver,broncos,home,2013,1209532,641184,568348,2,81285.0,MetLife Stadium,New York Giants,82500,1.0,False,True,True,True,False,False,September 15,2013-09-15,15.7,8.9,22.8,0.0,,,5.4,,1020.6,
New York,giants,Philadelphia,eagles,home,2013,1209532,641184,568348,5,80738.0,MetLife Stadium,New York Giants,82500,1.0,False,True,True,True,False,False,October 6,2013-10-06,20.6,19.4,22.2,,,114.0,10.4,,,
New York,giants,Minnesota,vikings,home,2013,1209532,641184,568348,7,79314.0,MetLife Stadium,New York Giants,82500,1.0,False,True,True,True,False,False,October 21,2013-10-21,13.7,6.7,21.1,0.0,,,8.0,,1018.3,
New York,giants,Oakland,raiders,home,2013,1209532,641184,568348,10,80366.0,MetLife Stadium,New York Giants,82500,1.0,False,True,True,True,False,False,November 10,2013-11-10,10.2,4.4,16.7,,,250.0,18.6,,1013.4,
New York,giants,Green Bay,packers,home,2013,1209532,641184,568348,11,79114.0,MetLife Stadium,New York Giants,82500,1.0,False,True,True,False,True,False,November 17,2013-11-17,13.9,9.0,18.3,,,,3.0,,,
New York,giants,Dallas,cowboys,home,2013,1209532,641184,568348,12,80499.0,MetLife Stadium,New York Giants,82500,1.0,False,True,True,False,True,False,November 24,2013-11-24,-2.7,-4.4,-0.6,0.0,,304.0,26.7,,1022.2,
New York,giants,Seattle,seahawks,home,2013,1209532,641184,568348,15,79691.0,MetLife Stadium,New York Giants,82500,1.0,False,True,True,False,False,True,December 15,2013-12-15,2.0,-0.6,4.4,8.9,,300.0,13.1,,1004.4,
New York,giants,Washington,redskins,home,2013,1209532,641184,568348,17,80177.0,MetLife Stadium,New York Giants,82500,1.0,False,True,True,False,True,False,December 29,2013-12-29,5.6,2.2,8.3,,,,8.7,,,
New York,giants,Arizona,cardinals,home,2014,1195369,631738,563631,2,78344.0,MetLife Stadium,New York Giants,82500,1.0,False,True,False,True,False,False,September 14,2014-09-14,16.2,10.6,22.2,0.0,,,6.8,,1022.8,
New York,giants,Houston,texans,home,2014,1195369,631738,563631,3,77462.0,MetLife Stadium,New York Giants,82500,1.0,False,True,False,True,False,False,September 21,2014-09-21,21.6,19.0,25.0,2.5,,,4.8,,,
New York,giants,Atlanta,falcons,home,2014,1195369,631738,563631,5,80307.0,MetLife Stadium,New York Giants,82500,1.0,False,True,False,True,False,False,October 5,2014-10-05,11.2,6.7,16.1,0.0,,264.0,13.4,,1010.1,
New York,giants,Indianapolis,colts,home,2014,1195369,631738,563631,9,77975.0,MetLife Stadium,New York Giants,82500,1.0,False,True,False,False,True,False,November 3,2014-11-03,9.9,3.3,17.2,0.0,,268.0,16.0,,1019.1,
New York,giants,San Francisco,49ers,home,2014,1195369,631738,563631,11,80352.0,MetLife Stadium,New York Giants,82500,1.0,False,True,False,False,True,False,November 16,2014-11-16,3.1,-1.1,6.1,,,,6.1,,1025.5,
New York,giants,Dallas,cowboys,home,2014,1195369,631738,563631,12,80520.0,MetLife Stadium,New York Giants,82500,1.0,False,True,False,True,False,False,November 23,2014-11-23,8.4,5.0,13.9,0.0,,,6.8,,1020.8,
New York,giants,Washington,redskins,home,2014,1195369,631738,563631,15,77628.0,MetLife Stadium,New York Giants,82500,1.0,False,True,False,True,False,False,December 14,2014-12-14,4.7,2.2,8.3,0.0,,326.0,11.5,,1012.5,
New York,giants,Philadelphia,eagles,home,2014,1195369,631738,563631,17,79150.0,MetLife Stadium,New York Giants,82500,1.0,False,True,False,False,True,False,December 28,2014-12-28,8.1,6.1,12.2,,,263.0,10.3,,1014.1,
New York,giants,Atlanta,falcons,home,2015,1198163,632011,566152,2,77678.0,MetLife Stadium,New York Giants,82500,1.0,False,False,False,True,False,False,September 20,2015-09-20,22.1,18.3,25.0,0.0,,347.0,14.8,,1014.7,
New York,giants,Washington,redskins,home,2015,1198163,632011,566152,3,76081.0,MetLife Stadium,New York Giants,82500,1.0,False,False,False,True,False,False,September 24,2015-09-24,20.4,13.3,27.2,0.0,,,6.0,,1024.9,
New York,giants,San Francisco,49ers,home,2015,1198163,632011,566152,5,78515.0,MetLife Stadium,New York Giants,82500,1.0,False,False,False,True,False,False,October 11,2015-10-11,14.2,6.7,21.7,0.0,,,6.3,,1014.1,
