year,team_full_name,week,weekly_attendance,Stadium,Capacity,weekly_attendance_percent
2000,Arizona Cardinals,1,77434.0,State Farm Stadium,63400,1.2213564668769716
2000,Arizona Cardinals,2,66009.0,State Farm Stadium,63400,1.0411514195583595
2000,Arizona Cardinals,3,,State Farm Stadium,63400,
2000,Arizona Cardinals,4,71801.0,State Farm Stadium,63400,1.1325078864353313
2000,Arizona Cardinals,5,66985.0,State Farm Stadium,63400,1.056545741324921
2000,Arizona Cardinals,6,44296.0,State Farm Stadium,63400,0.6986750788643533
2000,Arizona Cardinals,7,38293.0,State Farm Stadium,63400,0.6039905362776026
2000,Arizona Cardinals,8,62981.0,State Farm Stadium,63400,0.993391167192429
2000,Arizona Cardinals,9,35286.0,State Farm Stadium,63400,0.5565615141955836
2000,Arizona Cardinals,10,52244.0,State Farm Stadium,63400,0.8240378548895899
2000,Arizona Cardinals,11,64223.0,State Farm Stadium,63400,1.012981072555205
2000,Arizona Cardinals,12,65356.0,State Farm Stadium,63400,1.0308517350157729
2000,Arizona Cardinals,13,42094.0,State Farm Stadium,63400,0.6639432176656151
2000,Arizona Cardinals,14,50289.0,State Farm Stadium,63400,0.7932018927444795
2000,Arizona Cardinals,15,53472.0,State Farm Stadium,63400,0.8434069400630915
2000,Arizona Cardinals,16,37452.0,State Farm Stadium,63400,0.5907255520504732
2000,Arizona Cardinals,17,65711.0,State Farm Stadium,63400,1.0364511041009463
2000,Atlanta Falcons,1,54626.0,Mercedes Benz Stadium,71000,0.7693802816901408
2000,Atlanta Falcons,2,75466.0,Mercedes Benz Stadium,71000,1.0629014084507042
2000,Atlanta Falcons,3,73025.0,Mercedes Benz Stadium,71000,1.0285211267605634
2000,Atlanta Falcons,4,58761.0,Mercedes Benz Stadium,71000,0.8276197183098591
2000,Atlanta Falcons,5,65424.0,Mercedes Benz Stadium,71000,0.9214647887323943
2000,Atlanta Falcons,6,50947.0,Mercedes Benz Stadium,71000,0.7175633802816901
2000,Atlanta Falcons,7,66019.0,Mercedes Benz Stadium,71000,0.9298450704225352
2000,Atlanta Falcons,8,56508.0,Mercedes Benz Stadium,71000,0.795887323943662
2000,Atlanta Falcons,9,46178.0,Mercedes Benz Stadium,71000,0.650394366197183
2000,Atlanta Falcons,10,70097.0,Mercedes Benz Stadium,71000,0.9872816901408451
2000,Atlanta Falcons,11,74309.0,Mercedes Benz Stadium,71000,1.046605633802817
2000,Atlanta Falcons,12,67447.0,Mercedes Benz Stadium,71000,0.9499577464788732
2000,Atlanta Falcons,13,55175.0,Mercedes Benz Stadium,71000,0.777112676056338
2000,Atlanta Falcons,14,44680.0,Mercedes Benz Stadium,71000,0.6292957746478873
2000,Atlanta Falcons,15,,Mercedes Benz Stadium,71000,
2000,Atlanta Falcons,16,64900.0,Mercedes Benz Stadium,71000,0.9140845070422535
2000,Atlanta Falcons,17,41017.0,Mercedes Benz Stadium,71000,0.5777042253521126
2000,Baltimore Ravens,1,55049.0,M&T Bank Stadium,71008,0.7752506759801713
2000,Baltimore Ravens,2,68843.0,M&T Bank Stadium,71008,0.9695104776926543
2000,Baltimore Ravens,3,73464.0,M&T Bank Stadium,71008,1.0345876520955386
2000,Baltimore Ravens,4,68481.0,M&T Bank Stadium,71008,0.9644124605678234
2000,Baltimore Ravens,5,73018.0,M&T Bank Stadium,71008,1.028306669671023
2000,Baltimore Ravens,6,65194.0,M&T Bank Stadium,71008,0.9181219017575485
2000,Baltimore Ravens,7,83252.0,M&T Bank Stadium,71008,1.1724312753492565
2000,Baltimore Ravens,8,69200.0,M&T Bank Stadium,71008,0.9745380802163136
2000,Baltimore Ravens,9,69405.0,M&T Bank Stadium,71008,0.9774250788643533
2000,Baltimore Ravens,10,54759.0,M&T Bank Stadium,71008,0.7711666291122127
2000,Baltimore Ravens,11,68490.0,M&T Bank Stadium,71008,0.9645392068499324
2000,Baltimore Ravens,12,69416.0,M&T Bank Stadium,71008,0.977579990986931
2000,Baltimore Ravens,13,68361.0,M&T Bank Stadium,71008,0.9627225101397026
2000,Baltimore Ravens,14,,M&T Bank Stadium,71008,
2000,Baltimore Ravens,15,68805.0,M&T Bank Stadium,71008,0.9689753267237494
2000,Baltimore Ravens,16,37452.0,M&T Bank Stadium,71008,0.527433528616494
2000,Baltimore Ravens,17,69184.0,M&T Bank Stadium,71008,0.9743127534925642
2000,Buffalo Bills,1,72492.0,Highmark Stadium,71608,1.0123449893866607
2000,Buffalo Bills,2,77722.0,Highmark Stadium,71608,1.0853815216176963
2000,Buffalo Bills,3,77884.0,Highmark Stadium,71608,1.0876438386772427
2000,Buffalo Bills,4,,Highmark Stadium,71608,
2000,Buffalo Bills,5,72617.0,Highmark Stadium,71608,1.0140906044017428
2000,Buffalo Bills,6,73901.0,Highmark Stadium,71608,1.0320215618366664
2000,Buffalo Bills,7,72351.0,Highmark Stadium,71608,1.010375935649648
2000,Buffalo Bills,8,64116.0,Highmark Stadium,71608,0.8953748184560384
2000,Buffalo Bills,9,72861.0,Highmark Stadium,71608,1.017498044911183
2000,Buffalo Bills,10,60292.0,Highmark Stadium,71608,0.8419729639146464
2000,Buffalo Bills,11,72420.0,Highmark Stadium,71608,1.0113395151379734
2000,Buffalo Bills,12,78457.0,Highmark Stadium,71608,1.095645737906379
2000,Buffalo Bills,13,65546.0,Highmark Stadium,71608,0.9153446542285778
2000,Buffalo Bills,14,73002.0,Highmark Stadium,71608,1.0194670986481957
2000,Buffalo Bills,15,56671.0,Highmark Stadium,71608,0.7914059881577478
2000,Buffalo Bills,16,47230.0,Highmark Stadium,71608,0.6595631772986259
2000,Buffalo Bills,17,61025.0,Highmark Stadium,71608,0.8522092503630879
2000,Carolina Panthers,1,80257.0,Bank of America Stadium,74867,1.0719943366236124
2000,Carolina Panthers,2,66879.0,Bank of America Stadium,74867,0.8933041259834106
2000,Carolina Panthers,3,73025.0,Bank of America Stadium,74867,0.9753963695620234
2000,Carolina Panthers,4,,Bank of America Stadium,74867,
2000,Carolina Panthers,5,73310.0,Bank of America Stadium,74867,0.979203120199821
2000,Carolina Panthers,6,72192.0,Bank of America Stadium,74867,0.9642699720838287
2000,Carolina Panthers,7,50015.0,Bank of America Stadium,74867,0.668051344384041
2000,Carolina Panthers,8,73169.0,Bank of America Stadium,74867,0.9773197804105948
2000,Carolina Panthers,9,46178.0,Bank of America Stadium,74867,0.6168004594814805
2000,Carolina Panthers,10,66048.0,Bank of America Stadium,74867,0.8822044425447794
2000,Carolina Panthers,11,72981.0,Bank of America Stadium,74867,0.9748086606916265
2000,Carolina Panthers,12,64208.0,Bank of America Stadium,74867,0.8576275261463662
2000,Carolina Panthers,13,73295.0,Bank of America Stadium,74867,0.9790027649030948
2000,Carolina Panthers,14,73358.0,Bank of America Stadium,74867,0.9798442571493449
2000,Carolina Panthers,15,77481.0,Bank of America Stadium,74867,1.034915249709485
2000,Carolina Panthers,16,72159.0,Bank of America Stadium,74867,0.963829190431031
2000,Carolina Panthers,17,60637.0,Bank of America Stadium,74867,0.8099296085057502
2000,Chicago Bears,1,64104.0,Soldier Field,61500,1.0423414634146342
2000,Chicago Bears,2,65569.0,Soldier Field,61500,1.0661626016260162
2000,Chicago Bears,3,66944.0,Soldier Field,61500,1.088520325203252
2000,Chicago Bears,4,66944.0,Soldier Field,61500,1.088520325203252
2000,Chicago Bears,5,59869.0,Soldier Field,61500,0.973479674796748
2000,Chicago Bears,6,66944.0,Soldier Field,61500,1.088520325203252
2000,Chicago Bears,7,66944.0,Soldier Field,61500,1.088520325203252
2000,Chicago Bears,8,65553.0,Soldier Field,61500,1.0659024390243903
2000,Chicago Bears,9,,Soldier Field,61500,
2000,Chicago Bears,10,66944.0,Soldier Field,61500,1.088520325203252
2000,Chicago Bears,11,72420.0,Soldier Field,61500,1.177560975609756
2000,Chicago Bears,12,66944.0,Soldier Field,61500,1.088520325203252
2000,Chicago Bears,13,77354.0,Soldier Field,61500,1.2577886178861788
2000,Chicago Bears,14,66944.0,Soldier Field,61500,1.088520325203252
2000,Chicago Bears,15,66944.0,Soldier Field,61500,1.088520325203252
2000,Chicago Bears,16,68306.0,Soldier Field,61500,1.1106666666666667
2000,Chicago Bears,17,71957.0,Soldier Field,61500,1.1700325203252033
2000,Cincinnati Bengals,1,,Paycor Stadium,65515,
2000,Cincinnati Bengals,2,64006.0,Paycor Stadium,65515,0.9769671067694421
2000,Cincinnati Bengals,3,45653.0,Paycor Stadium,65515,0.6968327863847974
2000,Cincinnati Bengals,4,68481.0,Paycor Stadium,65515,1.045272075097306
2000,Cincinnati Bengals,5,61535.0,Paycor Stadium,65515,0.9392505533084027
2000,Cincinnati Bengals,6,63406.0,Paycor Stadium,65515,0.9678088987254827
2000,Cincinnati Bengals,7,54328.0,Paycor Stadium,65515,0.829245211020377
2000,Cincinnati Bengals,8,61603.0,Paycor Stadium,65515,0.9402884835533847
2000,Cincinnati Bengals,9,73118.0,Paycor Stadium,65515,1.116049759597039
2000,Cincinnati Bengals,10,54759.0,Paycor Stadium,65515,0.8358238571319545
2000,Cincinnati Bengals,11,62170.0,Paycor Stadium,65515,0.9489429901549263
2000,Cincinnati Bengals,12,60292.0,Paycor Stadium,65515,0.9202777989773334
2000,Cincinnati Bengals,13,63925.0,Paycor Stadium,65515,0.9757307486835076
2000,Cincinnati Bengals,14,50289.0,Paycor Stadium,65515,0.767595207204457
2000,Cincinnati Bengals,15,68498.0,Paycor Stadium,65515,1.0455315576585515
2000,Cincinnati Bengals,16,50469.0,Paycor Stadium,65515,0.7703426696176449
