team,team_name,opponent_team,opponent_team_name,location,year,total,home,away,week,weekly_attendance,stadium,home_team,capacity,capacity_rate
Arizona,cardinals,New York,giants,away,2000,893926,387475,506451,1,77434.0,State Farm Stadium,Arizona Cardinals,63400,0.81876178422915
Arizona,cardinals,Dallas,cowboys,home,2000,893926,387475,506451,2,66009.0,State Farm Stadium,Arizona Cardinals,63400,0.9604750867305973
Arizona,cardinals,,,,2000,893926,387475,506451,3,,State Farm Stadium,Arizona Cardinals,63400,
Arizona,cardinals,Green Bay,packers,home,2000,893926,387475,506451,4,71801.0,State Farm Stadium,Arizona Cardinals,63400,0.8829960585507166
Arizona,cardinals,San Francisco,49ers,away,2000,893926,387475,506451,5,66985.0,State Farm Stadium,Arizona Cardinals,63400,0.9464805553482123
Arizona,cardinals,Cleveland,browns,home,2000,893926,387475,506451,6,44296.0,State Farm Stadium,Arizona Cardinals,63400,1.0
Arizona,cardinals,Philadelphia,eagles,home,2000,893926,387475,506451,7,38293.0,State Farm Stadium,Arizona Cardinals,63400,1.0
Arizona,cardinals,Dallas,cowboys,away,2000,893926,387475,506451,8,62981.0,State Farm Stadium,Arizona Cardinals,63400,1.0
Arizona,cardinals,New Orleans,saints,home,2000,893926,387475,506451,9,35286.0,State Farm Stadium,Arizona Cardinals,63400,1.0
Arizona,cardinals,Washington,redskins,home,2000,893926,387475,506451,10,52244.0,State Farm Stadium,Arizona Cardinals,63400,1.0
Arizona,cardinals,Minnesota,vikings,away,2000,893926,387475,506451,11,64223.0,State Farm Stadium,Arizona Cardinals,63400,0.9871852763028821
Arizona,cardinals,Philadelphia,eagles,away,2000,893926,387475,506451,12,65356.0,State Farm Stadium,Arizona Cardinals,63400,0.9700716078095355
Arizona,cardinals,New York,giants,home,2000,893926,387475,506451,13,42094.0,State Farm Stadium,Arizona Cardinals,63400,1.0
Arizona,cardinals,Cincinnati,bengals,away,2000,893926,387475,506451,14,50289.0,State Farm Stadium,Arizona Cardinals,63400,1.0
Arizona,cardinals,Jacksonville,jaguars,away,2000,893926,387475,506451,15,53472.0,State Farm Stadium,Arizona Cardinals,63400,1.0
Arizona,cardinals,Baltimore,ravens,home,2000,893926,387475,506451,16,37452.0,State Farm Stadium,Arizona Cardinals,63400,1.0
Arizona,cardinals,Washington,redskins,away,2000,893926,387475,506451,17,65711.0,State Farm Stadium,Arizona Cardinals,63400,0.9648308502381641
Atlanta,falcons,San Francisco,49ers,home,2000,964579,422814,541765,1,54626.0,Mercedes Benz Stadium,Atlanta Falcons,71000,1.0
