year,team_full_name,week,weekly_attendance,home,Sb_winners,Sb_winners_prev_years,Playoff_prev_years,Bad_streak,Medium_streak,Good_streak
2000,Arizona Cardinals,1,77434.0,False,,,,True,False,False
2000,Arizona Cardinals,2,66009.0,True,,,,True,False,False
2000,Arizona Cardinals,3,,,,,,True,False,False
2000,Arizona Cardinals,4,71801.0,True,,,,True,False,False
2000,Arizona Cardinals,5,66985.0,False,,,,True,False,False
2000,Arizona Cardinals,6,44296.0,True,,,,True,False,False
2000,Arizona Cardinals,7,38293.0,True,,,,True,False,False
2000,Arizona Cardinals,8,62981.0,False,,,,False,True,False
2000,Arizona Cardinals,9,35286.0,True,,,,False,True,False
2000,Arizona Cardinals,10,52244.0,True,,,,True,False,False
2000,Arizona Cardinals,11,64223.0,False,,,,True,False,False
2000,Arizona Cardinals,12,65356.0,False,,,,False,True,False
2000,Arizona Cardinals,13,42094.0,True,,,,True,False,False
2000,Arizona Cardinals,14,50289.0,False,,,,True,False,False
2000,Arizona Cardinals,15,53472.0,False,,,,True,False,False
2000,Arizona Cardinals,16,37452.0,True,,,,True,False,False
2000,Arizona Cardinals,17,65711.0,False,,,,True,False,False
2000,Atlanta Falcons,1,54626.0,True,,,,True,False,False
2000,Atlanta Falcons,2,75466.0,False,,,,True,False,False
2000,Atlanta Falcons,3,73025.0,False,,,,True,False,False
2000,Atlanta Falcons,4,58761.0,True,,,,True,False,False
2000,Atlanta Falcons,5,65424.0,False,,,,False,True,False
2000,Atlanta Falcons,6,50947.0,True,,,,False,True,False
2000,Atlanta Falcons,7,66019.0,False,,,,False,True,False
2000,Atlanta Falcons,8,56508.0,True,,,,True,False,False
2000,Atlanta Falcons,9,46178.0,True,,,,True,False,False
2000,Atlanta Falcons,10,70097.0,True,,,,True,False,False
2000,Atlanta Falcons,11,74309.0,False,,,,True,False,False
2000,Atlanta Falcons,12,67447.0,False,,,,True,False,False
2000,Atlanta Falcons,13,55175.0,False,,,,True,False,False
2000,Atlanta Falcons,14,44680.0,True,,,,True,False,False
2000,Atlanta Falcons,15,,,,,,True,False,False
2000,Atlanta Falcons,16,64900.0,False,,,,True,False,False
2000,Atlanta Falcons,17,41017.0,True,,,,True,False,False
2000,Baltimore Ravens,1,55049.0,False,,,,True,False,False
2000,Baltimore Ravens,2,68843.0,True,,,,True,False,False
