year,week,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_city,away_team_city,weekly_attendance,Stadium,Capacity,weekly_attendance_percent
2000,1,Minnesota Vikings,Chicago Bears,Minnesota Vikings,,Sun,September 3,1:00PM,30,27,374,1,425,1,Minnesota,Chicago,64104.0,U.S. Bank Stadium,66655,0.9617283024529293
2000,1,Kansas City Chiefs,Indianapolis Colts,Indianapolis Colts,,Sun,September 3,1:00PM,27,14,386,2,280,1,Kansas City,Indianapolis,78357.0,Arrowhead Stadium,76416,1.0254004396984924
2000,1,Washington Redskins,Carolina Panthers,Washington Redskins,,Sun,September 3,1:01PM,20,17,396,0,236,1,Washington,Carolina,80257.0,Commanders Field,62000,1.294467741935484
2000,1,Atlanta Falcons,San Francisco 49ers,Atlanta Falcons,,Sun,September 3,1:02PM,36,28,359,1,339,1,Atlanta,San Francisco,54626.0,Mercedes Benz Stadium,71000,0.7693802816901408
2000,1,Pittsburgh Steelers,Baltimore Ravens,Baltimore Ravens,,Sun,September 3,1:02PM,16,0,336,0,223,1,Pittsburgh,Baltimore,55049.0,Acrisure Stadium,68400,0.8048099415204678
2000,1,Cleveland Browns,Jacksonville Jaguars,Jacksonville Jaguars,,Sun,September 3,1:02PM,27,7,398,0,249,1,Cleveland,Jacksonville,72418.0,Huntington Bank Field,67895,1.066617571249724
2000,1,New England Patriots,Tampa Bay Buccaneers,Tampa Bay Buccaneers,,Sun,September 3,1:02PM,21,16,296,1,278,1,New England,Tampa Bay,60292.0,Gillette Stadium,66829,0.9021831839470889
2000,1,New Orleans Saints,Detroit Lions,Detroit Lions,,Sun,September 3,1:03PM,14,10,187,2,252,3,New Orleans,Detroit,64900.0,Caesars Superdome,73208,0.8865151349579281
2000,1,New York Giants,Arizona Cardinals,New York Giants,,Sun,September 3,1:04PM,21,16,395,2,355,4,New York,Arizona,77434.0,MetLife Stadium,82500,0.9385939393939394
2000,1,Dallas Cowboys,Philadelphia Eagles,Philadelphia Eagles,,Sun,September 3,4:05PM,41,14,425,3,167,2,Dallas,Philadelphia,62872.0,AT&T Stadium,80000,0.7859
2000,1,Oakland Raiders,San Diego Chargers,Oakland Raiders,,Sun,September 3,4:15PM,9,6,233,0,255,4,Oakland,San Diego,56373.0,Allegiant Stadium,65000,0.8672769230769231
2000,1,Miami Dolphins,Seattle Seahawks,Miami Dolphins,,Sun,September 3,4:16PM,23,0,308,1,143,6,Miami,Seattle,72949.0,Hard Rock Stadium,65326,1.1166916694731042
