date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2010-08-01 00:00:00,22.9,18.9,25.6,,,,7.8,,1016.6,
2010-08-02 00:00:00,24.2,19.4,28.3,0,,,10.1,,1019.6,
2010-08-03 00:00:00,25.4,22.2,30.6,0,,198,15.3,,1018,
2010-08-04 00:00:00,28.2,23.9,33.9,0,,194,11.9,,1011,
2010-08-05 00:00:00,29.1,25,32.2,2.8,,,12.8,,1003.9,
2010-08-06 00:00:00,27.1,23.3,30,0,,309,14.6,,1005.3,
2010-08-07 00:00:00,23.4,17.8,28.9,0,,,6.5,,1013,
2010-08-08 00:00:00,25.5,21.7,30,0,,,11.8,,1015.7,
2010-08-09 00:00:00,27.6,22.2,32.8,0,,,10.4,,1014.7,
2010-08-10 00:00:00,28.3,25,32.2,,,,7.5,,1011.9,
2010-08-11 00:00:00,27.8,23.9,32.8,0,,,7.6,,1010.4,
2010-08-12 00:00:00,23.3,21.1,25,,,,6.6,,1012.1,
2010-08-13 00:00:00,22.9,20,26.7,,,,9.6,,1016.9,
2010-08-14 00:00:00,22.2,17.8,25.6,0,,,9.1,,1019.9,
2010-08-15 00:00:00,22.3,20,25,,,,9.9,,1017.5,
2010-08-16 00:00:00,24.9,21.1,30.6,8.9,,,5.1,,,
2010-08-17 00:00:00,26.7,22.8,31.1,0,,,7.9,,1015.1,
2010-08-18 00:00:00,24.8,20.6,28.9,0,,,4.7,,1016.8,
2010-08-19 00:00:00,25.1,17.8,31.1,0,,,5.4,,1012.2,
2010-08-20 00:00:00,26.3,20.6,31.7,0,,,8.1,,1012.4,
2010-08-21 00:00:00,23.4,17.2,27.8,0,,,7.2,,1016.6,
2010-08-22 00:00:00,24.6,22.2,26.7,,,151,13.7,,,
2010-08-23 00:00:00,20.3,18.3,21.7,,,31,12.5,,1011.5,
2010-08-24 00:00:00,19.7,18.3,21.7,,,17,13.5,,1014.9,
2010-08-25 00:00:00,19.1,17.2,21,,,,8.9,,,
2010-08-26 00:00:00,22.5,16.7,27.8,0,,,11,,1013.7,
2010-08-27 00:00:00,20.4,13.9,25.6,0.3,,,6.5,,1018.9,
2010-08-28 00:00:00,21.6,13.3,28.3,0,,,5.2,,1021.6,
2010-08-29 00:00:00,25.4,15.6,33.9,0,,,3.9,,1021.4,
2010-08-30 00:00:00,26.7,20,32.2,0,,,5.1,,1021.5,
2010-08-31 00:00:00,28.5,21.1,35,0,,,5.3,,1019.2,
2010-09-01 00:00:00,28.8,22.8,35,0,,,5.6,,1016.3,
2010-09-02 00:00:00,28.7,23.9,33.9,0,,,8.8,,1014.3,
2010-09-03 00:00:00,26.5,23.3,29.4,0,,,8.7,,1006,
2010-09-04 00:00:00,23.2,18.3,26.1,0,,268,20.9,,1003.4,
2010-09-05 00:00:00,19,13.9,23.9,0,,267,11.7,,1013.8,
2010-09-06 00:00:00,19.6,11.7,25.6,0,,,7.7,,1021.5,
2010-09-07 00:00:00,24.8,18.3,32.2,0,,193,14.4,,1018.7,
2010-09-08 00:00:00,25.6,18.9,31.7,0,,255,22.8,,1008.2,
2010-09-09 00:00:00,18.4,15.6,20.6,0,,301,16.8,,1008.6,
2010-09-10 00:00:00,18.6,15,21.7,0,,316,14.7,,1010.5,
2010-09-11 00:00:00,19.5,12.8,25.6,0,,,7.5,,1015,
2010-09-12 00:00:00,17.7,15.6,20,,,,9.7,,,
2010-09-13 00:00:00,18.2,15,24.4,,,,5.8,,,
2010-09-14 00:00:00,18.4,12.2,24.4,,,,9.1,,1012.5,
2010-09-15 00:00:00,17.2,12.8,21.7,0,,,14.5,,1018.1,
2010-09-16 00:00:00,17.6,11.1,23.3,,,,9.1,,1016.3,
2010-09-17 00:00:00,19.4,14.4,21.7,,,308,11.6,,1012.8,
2010-09-18 00:00:00,17.7,13.9,22.8,0,,60,9,,1021.6,
2010-09-19 00:00:00,20.4,13.9,27.8,0,,,4.8,,1018.8,
2010-09-20 00:00:00,19.2,15.6,23.3,0,,353,13.6,,1015.6,
2010-09-21 00:00:00,16.9,10,22.8,0,,,8.4,,1021,
2010-09-22 00:00:00,22.6,16.1,31.1,3.9,,209,14.1,,1016.7,
2010-09-23 00:00:00,21.8,17.2,27.8,0,,,6.7,,1020.9,
2010-09-24 00:00:00,23.2,18.9,30.6,0,,,8.6,,1017,
2010-09-25 00:00:00,26.3,21.7,30.6,0,,238,15.2,,1009.2,
2010-09-26 00:00:00,19.4,16.1,21.7,0,,,11.4,,1016.3,
2010-09-27 00:00:00,18.7,15.6,23.3,,,,12,,,
2010-09-28 00:00:00,23,22,25,,,166,18.8,,,
2010-09-29 00:00:00,21,15.6,25.6,0,,,5.2,,1012.5,
2010-09-30 00:00:00,22.9,20.6,24.4,,,,21.4,,1008.1,
2010-10-01 00:00:00,18.6,14.4,24.4,,,337,19.7,,1003.5,
2010-10-02 00:00:00,14.4,9.4,18.9,0,,,6.8,,1013.5,
2010-10-03 00:00:00,13.2,9.4,18.3,0,,32,13,,1018.9,
2010-10-04 00:00:00,12.2,11.7,12.8,,,20,14.5,,1018.5,
2010-10-05 00:00:00,13.5,12,15,,,7,11.5,,,
2010-10-06 00:00:00,14.8,12.8,17.2,0.3,,,12.4,,1011.1,
2010-10-07 00:00:00,15.7,10.6,21.1,,,,16.5,,1005,
2010-10-08 00:00:00,16.9,9.4,23.3,0,,,10,,1011.9,
2010-10-09 00:00:00,16.3,10.6,21.7,0,,,9.6,,1012.3,
2010-10-10 00:00:00,13.3,3.9,21.1,0,,,5.7,,1012,
2010-10-11 00:00:00,17.6,11.1,23.9,1.1,,,5.8,,1008.1,
2010-10-12 00:00:00,17.1,12.8,20,,,,8.9,,1008.7,
2010-10-13 00:00:00,12.3,6.1,17.8,0,,,5,,1015.8,
2010-10-14 00:00:00,11.7,6.7,16.7,14.9,,,5,,1011.5,
2010-10-15 00:00:00,11.6,10,13.3,,,294,21.1,,999.2,
2010-10-16 00:00:00,12.1,10,15,0,,312,25.1,,1007.1,
2010-10-17 00:00:00,13.3,5.6,20.6,0,,,9.4,,1011.3,
2010-10-18 00:00:00,11.3,7.8,15,0,,,9.4,,1013.2,
2010-10-19 00:00:00,11.8,8.9,16.1,,,,6.2,,1012.9,
2010-10-20 00:00:00,10.9,5.6,15,0,,,6,,1011.7,
2010-10-21 00:00:00,11.3,7.8,16.7,0,,228,13.6,,,
2010-10-22 00:00:00,8.4,3.9,10.6,0,,,14,,1014.6,
2010-10-23 00:00:00,11.8,4.4,18.3,0,,246,11.6,,1020,
2010-10-24 00:00:00,15.3,10.6,20,0,,,4.2,,1018.8,
2010-10-25 00:00:00,16.8,10.6,23.3,0,,,9.8,,1012.8,
2010-10-26 00:00:00,19.5,16,22.8,0,,185,10.7,,1010.9,
2010-10-27 00:00:00,21.4,16.7,25,,,196,13.8,,1010.6,
2010-10-28 00:00:00,18.7,15,23.9,0,,,11,,1010.1,
2010-10-29 00:00:00,11,7.8,13.3,0,,316,17.5,,1014.4,
2010-10-30 00:00:00,9.2,4.4,13.9,0,,225,14.6,,1015.3,
2010-10-31 00:00:00,9.6,5.6,14.4,0,,290,17.3,,1010.9,
2010-11-01 00:00:00,5.3,1.7,9.4,0,,334,13.7,,1025.6,
2010-11-02 00:00:00,5.3,1.1,10.6,0,,,6.3,,1029.7,
2010-11-03 00:00:00,6.5,1.1,12.2,0.3,,,6,,1021.9,
2010-11-04 00:00:00,8.5,7.8,9,19,,,9.2,,,
2010-11-05 00:00:00,8.7,6.1,11.7,,,289,10.7,,999.7,
2010-11-06 00:00:00,6.6,1.7,10.6,0,,,8.8,,1018.7,
2010-11-07 00:00:00,5.8,1.1,10.6,0,,332,14.8,,1021.9,
2010-11-08 00:00:00,5.6,4.4,7.2,,,322,24.2,,1005.7,
2010-11-09 00:00:00,8.6,5,12.8,0,,347,16.7,,1011.2,
2010-11-10 00:00:00,10.2,7.2,13.9,0,,9,15.2,,1018.1,
2010-11-11 00:00:00,8.4,4.4,13.9,0,,8,10.6,,1027.9,
2010-11-12 00:00:00,9.4,1.7,16.7,0.3,,,5.9,,1028.6,
2010-11-13 00:00:00,9.9,3.3,18.3,0,,,3.5,,1022.4,
2010-11-14 00:00:00,9.7,2.8,17.2,0,,,3.4,,1018.6,
2010-11-15 00:00:00,11.7,10,14.4,0,,,3.8,,1016.7,
2010-11-16 00:00:00,12.3,10.6,15.6,,,,9.9,,,
2010-11-17 00:00:00,14.2,10.6,16.1,5.7,,233,26.7,,1003.4,
2010-11-18 00:00:00,9.7,6.7,12.8,,,279,13.5,,1016.5,
2010-11-19 00:00:00,5.4,1.1,8.3,0,,,12.5,,1022.5,
2010-11-20 00:00:00,7.3,1.1,13.9,0,,241,12.5,,1020.8,
2010-11-21 00:00:00,5.5,1.1,8.3,0,,,5,,1031,
2010-11-22 00:00:00,11.8,5.6,18.3,0.3,,,9.1,,1025,
2010-11-23 00:00:00,12.6,8.3,17.2,0,,216,12.5,,1012.6,
2010-11-24 00:00:00,6.8,4.4,9.4,0,,320,21.8,,1019.7,
